Incident Date,ID,District,Bias Code,Bias Code2,Bias,Status,# of Victims,Victim Type,# of Suspects,# Suspects less than 18 years old,# Suspects 18-35 years old,# Suspects 36-45 years old,# Suspects 46-55 years old,# Suspects >55 years old,Unknown
08/11/2017,170524265,1D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
03/14/2016,16012552,1D,12 - Anti-Black,,Written Intimidation,N/A,1,Individual(s),1,1,,,,,
11/12/2016,16058486,3D,32 - Anti-Hispanic,,Vandalism,OPEN,,Religious Organization,,,,,,,X
06/26/2016,16032895,3D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
02/08/2019,190006274,1D,12 - Anti-Black,,Written Intimidation,N/A,,Individual(s),4,4,,,,,
08/23/2017,170526402,RCPD,21 - Anti-Jewish,24 - Anti-Islamic,Flyer left behind,OPEN,,Other,,,,,,,X
11/30/2016,16061372,3D,11 - Anti-white,,Vandalism,OPEN,1,Individual(s),,,,,,,X
02/14/2017,17008087,GCPD,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
10/24/2017,170538425,2D,14 - Anti-Asian,,Intimidation,RTOJ,1,Individual(s),1,1,,,,,
02/23/2017,17009753,5D,43 - Anti-Homosexual,,Written Intimidation,N/A,1,Individual(s),2,,,1,1,,
12/21/2016,16065495,3D,11 - Anti-white,,Vandalism,OPEN,,School/College,,,,,,,X
04/01/2017,17016633,1D,12 - Anti-Black,,Verbal Intimidation,N/A,2,Individual(s),1,,1,,,,
02/28/2017,17010637,5D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/17/2016,16064683,6D,71 - Anti-Transgender,,Assault (physical),OPEN,2,Individual(s),1,,1,,,,
06/26/2017,170515971,3D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
03/25/2016,16014473,2D,21 - Anti-Jewish,,Flyer left behind,N/A,,Other,,,,,,,X
08/24/2016,16043077,5D,21 - Anti-Jewish,43 - Anti-Homosexual,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
07/14/2016,16035697,4D,21 - Anti-Jewish,,Verbal Intimidation,OPEN,1,Individual(s),,,,,,,X
11/28/2016,16061017,6D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
11/12/2016,16058365,3D,24 - Anti-Islamic,,Verbal Intimidation,N/A,,Religious Organization,1,,,,,1,
03/30/2017,170500285,2D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),3,3,,,,,
02/27/2017,17012598,5D,24 - Anti-Islamic,,Written Intimidation,N/A,,Religious Organization,,,,,,,X
02/13/2019,190007372,5D,21 - Anti-Jewish,,Written Intimidation,N/A,,School/College,1,1,,,,,
12/29/2017,170551097,2D,43 - Anti-Homosexual,,Assault (physical),OPEN,1,Individual(s),1,,,,,,X
08/23/2017,170526440,4D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,,,1,,
02/27/2017,17010553,4D,24 - Anti-Islamic,,Written Intimidation,N/A,,Religious Organization,,,,,,,X
11/15/2017,170543121,4D,21 - Anti-Jewish,12 - Anti-Black,Written Intimidation,OPEN,1,Individual(s),3,3,,,,,
10/30/2016,16055886,2D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
03/28/2016,16014662,6D,21 - Anti-Jewish,43 - Anti-Homosexual,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
02/11/2019,190006643,2D,12 - Anti-Black,,Other,N/A,,Business/ Financial Institution,,,,,,,X
02/07/2017,17006589,RCPD,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
12/31/2016,16067112,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,Other,,,,,,,X
06/14/2016,16030098,4D,14 - Anti-Asian,,Verbal Intimidation,N/A,2,Individual(s),2,,,,,2,
09/02/2017,170528411,6D,12 - Anti-Black,,Intimidation,OPEN,1,Individual(s),3,3,,,,,
02/05/2019,190005702,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,
06/18/2017,170514643,4D,12 - Anti-Black,,Intimidation,N/A,,Society,,,,,,,X
08/22/2017,170526290,3D,24 - Anti-Islamic,,Verbal Intimidation,UNF,1,Individual(s),1,,1,,,,
04/26/2016,16020631,2D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),1,,,,1,,
05/29/2017,170510517,TPPD,22 - Anti-Catholic,,Vandalism,OPEN,,School/College,,,,,,,X
09/04/2016,16045255,3D,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
07/15/2016,16035647,2D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,,,1,,
09/05/2017,170528788,2D,21 - Anti-Jewish,,Flyer left behind,N/A,1,Individual(s),,,,,,,X
06/13/2017,170513374,4D,12 - Anti-Black,,Vandalism,OPEN,,School/College,1,1,,,,,
02/14/2017,17008045,RCPD,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
01/15/2016,16002798,5D,71 - Anti-Transgender,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
03/25/2017,17015199,4D,32 - Anti-Hispanic,,Verbal Intimidation,N/A,,Society,1,,,,,1,
05/26/2016,16026270,TPPD,11 - Anti-white,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
07/24/2017,170520886,RCPD,12 - Anti-Black,,Intimidation,N/A,,School/College,4,4,,,,,
08/13/2017,170524634,1D,24 - Anti-Islamic,,Assault (physical),OPEN,2,Individual(s),,,,,,,X
06/01/2017,170511135,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,1,1,,,,,
10/19/2017,170537609,6D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),1,,1,,,,
10/16/2017,170537332,1D,12 - Anti-Black,,Intimidation,RTOJ,,Government,,,,,,,X
06/02/2017,170512466,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
08/20/2017,170526017,4D,43 - Anti-Homosexual,,Vandalism,INACTIVE,2,Individual(s),,,,,,,X
11/23/2016,16060360,4D,32 - Anti-Hispanic,,Assault (physical),INACTIVE,3,Individual(s),,,,,,,X
02/08/2019,190006227,RCPD,21 - Anti-Jewish,12 - Anti-Black,Vandalism,OPEN,,Society,,,,,,,X
12/16/2017,170548977,2D,12 - Anti-Black,,Verbal Intimidation,OPEN,1,Individual(s),1,,,,1,,
07/20/2017,170520131,4D,12 - Anti-Black,,Verbal Intimidation,UNF,2,Individual(s),1,,1,,,,
11/30/2017,170545799,5D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
02/07/2019,190006264,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
12/21/2016,16065398,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,4,4,,,,,
05/19/2016,16024967,3D,21 - Anti-Jewish,,Flyer left behind,OPEN,2,Individual(s),,,,,,,X
06/15/2017,170513786,3D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
04/16/2016,16018523,2D,12 - Anti-Black,,Assault (physical),OPEN,1,Individual(s),,,,,,,X
06/28/2017,170516376,GCPD,12 - Anti-Black,,Vandalism,INACTIVE,3,Individual(s),,,,,,,X
07/15/2017,170519264,2D,43 - Anti-Homosexual,,Other,OPEN,,Religious Organization,,,,,,,X
04/14/2017,170502163,1D,43 - Anti-Homosexual,,Assault (physical),UNF,2,Individual(s),1,,1,,,,
06/12/2017,170513456,2D,11 - Anti-white,43 - Anti-Homosexual,Verbal Intimidation,N/A,1,Individual(s),1,1,,,,,
11/10/2016,16058679,3D,12 - Anti-Black,,Vandalism,UNF,,School/College,,,,,,,X
03/26/2017,17015428,RCPD,32 - Anti-Hispanic,,Flyer left behind,N/A,,Society,,,,,,,X
06/15/2017,170513795,6D,12 - Anti-Black,,Intimidation,N/A,,Society,,,,,,,X
01/13/2017,17002238,3D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
06/11/2017,170512854,GCPD,21 - Anti-Jewish,,Vandalism,OPEN,,Society,,,,,,,X
11/23/2016,16060209,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
06/04/2016,16027958,5D,24 - Anti-Islamic,,Assault (physical),OPEN,2,Individual(s),1,,1,,,,
02/27/2017,17010455,2D,21 - Anti-Jewish,,Verbal Intimidation,RTOJ,,School/College,,,,,,,X
02/19/2019,190008048,1D,72 - Anti Gender Non-conforming,,Verbal Intimidation,OPEN,1,Individual(s),1,,,,,,
02/28/2019,190009605,3D,43 - Anti-Homosexual,,Assault (physical),OPEN,1,Individual(s),2,,,,,,X
09/10/2019,190043357,4D,14 - Anti-Asian,,Assault (physical),OPEN,1,Individual(s),1,,,1,,,
09/19/2019,190044912,1D,21 - Anti-Jewish,,Written Intimidation,N/A,,Society,,,,,,,X
03/15/2019,190011995,4D,12 - Anti-Black,,Vandalism,OPEN,,Government,,,,,,,X
04/19/2016,16019138,5D,32 - Anti-Hispanic,,Written Intimidation,N/A,1,Individual(s),,,,,,,X
01/01/2016,16000094,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,Government,,,,,,,X
01/05/2017,17000751,RCPD,21 - Anti-Jewish,,Vandalism,INACTIVE,,Government,,,,,,,X
10/13/2016,16054220,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
06/16/2017,170514039,6D,43 - Anti-Homosexual,,Vandalism,INACTIVE,,Society,,,,,,,X
06/20/2016,16031132,2D,26 - Anti-Multi religious group,,Vandalism,N/A,,School/College,,,,,,,X
03/15/2019,190012119,TPPD,14 - Anti-Asian,,Verbal Intimidation,OPEN,,Society,1,,,,,,X
03/15/2019,190011926,4D,14 - Anti-Asian,,Vandalism,OPEN,1,Individual(s),,,,,,,X
02/01/2017,17005568,4D,24 - Anti-Islamic,,Verbal Intimidation,INACTIVE,1,Individual(s),1,,,,,1,
08/02/2017,170522548,5D,43 - Anti-Homosexual,12 - Anti-Black,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
04/26/2016,16020540,2D,12 - Anti-Black,,Written Intimidation,UNF,1,Individual(s),,,,,,,X
02/29/2016,16010040,6D,21 - Anti-Jewish,,Vandalism,OPEN,,Other,,,,,,,X
07/07/2016,16034348,2D,21 - Anti-Jewish,,Vandalism,INACTIVE,,Government,,,,,,,X
11/13/2017,170542473,4D,43 - Anti-Homosexual,71 - Anti-Transgender,Assault (physical),OPEN,1,Individual(s),1,,1,,,,
11/24/2016,16060434,3D,12 - Anti-Black,,Verbal Intimidation,UNF,3,Individual(s),,,,,,,X
03/22/2017,17014656,1D,32 - Anti-Hispanic,,Verbal Intimidation,INACTIVE,,School/College,,,,,,,X
03/21/2017,17014459,1D,21 - Anti-Jewish,12 - Anti-Black,Vandalism,OPEN,,School/College,,,,,,,X
11/29/2016,16061267,1D,12 - Anti-Black,,Vandalism,INACTIVE,,School/College,,,,,,,X
12/23/2016,16065935,1D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
03/26/2019,190015019,2D,12 - Anti-Black,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
05/15/2017,170507863,2D,12 - Anti-Black,,Vandalism,N/A,,School/College,,,,,,,X
08/05/2017,170523171,3D,12 - Anti-Black,,Vandalism,OPEN,1,Individual(s),,,,,,,X
01/05/2016,16000600,1D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),1,,,,,1,
07/24/2016,16037478,1D,43 - Anti-Homosexual,,Written Intimidation,INACTIVE,2,Individual(s),,,,,,,X
11/13/2017,170542528,4D,24 - Anti-Islamic,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
12/14/2017,170548562,1D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
09/22/2016,16048759,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
08/01/2017,170522344,1D,12 - Anti-Black,43 - Anti-Homosexual,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
09/17/2017,170530867,6D,12 - Anti-Black,,Verbal Intimidation,OPEN,1,Individual(s),1,,1,,,,
03/09/2017,17012395,1D,12 - Anti-Black,21 - Anti-Jewish,Vandalism,N/A,,School/College,,,,,,,X
11/19/2016,16059730,3D,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
06/29/2017,170516427,2D,14 - Anti-Asian,,Verbal Intimidation,N/A,1,Individual(s),,,,,,,X
08/03/2017,170522789,5D,43 - Anti-Homosexual,12 - Anti-Black,Written Intimidation,INACTIVE,1,Individual(s),,,,,,,X
05/20/2016,16025158,5D,32 - Anti-Hispanic,,Verbal Intimidation,OPEN,1,Individual(s),1,,1,,,,
12/05/2016,16062433,4D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
06/07/2016,16028599,5D,24 - Anti-Islamic,,Assault (physical),UNF,1,Individual(s),,,,,,,X
10/01/2017,170534164,GCPD,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
03/02/2017,17012040,1D,21 - Anti-Jewish,,Written Intimidation,UNF,1,Individual(s),,,,,,,X
01/07/2017,17001156,RCPD,21 - Anti-Jewish,,Written Intimidation,INACTIVE,2,Individual(s),,,,,,,X
05/16/2016,16024255,TPPD,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
05/17/2017,170508274,5D,12 - Anti-Black,,Other,N/A,,Society,,,,,,,X
03/01/2017,17010896,1D,71 - Anti-Transgender,,Assault (physical),UNF,1,Individual(s),,,,,,,X
11/14/2016,16058747,5D,21 - Anti-Jewish,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
07/16/2016,16036103,1D,12 - Anti-Black,,Vandalism,INACTIVE,,Government,,,,,,,X
04/23/2016,16020077,4D,12 - Anti-Black,,Miscellaneous,N/A,0,School/College,,,,,,,X
10/03/2016,16052215,1D,12 - Anti-Black,,Written Intimidation,N/A,1,Individual(s),,,,,,,X
08/12/2017,170524454,6D,43 - Anti-Homosexual,,Verbal Intimidation,OPEN,1,Individual(s),1,,,1,,,
06/19/2016,16032044,6D,26 - Anti-Multi religious group,,Vandalism,N/A,,Government,,,,,,,X
03/26/2017,17015298,RCPD,43 - Anti-Homosexual,,Vandalism,OPEN,,Government,,,,,,,X
12/18/2016,16064888,2D,21 - Anti-Jewish,,Flyer left behind,N/A,1,Individual(s),,,,,,,X
03/22/2017,17014825,6D,12 - Anti-Black,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
03/30/2019,190014980,2D,12 - Anti-Black,32 - Anti-Hispanic,Vandalism,OPEN,,School/College,,,,,,,X
06/29/2016,16033056,5D,32 - Anti-Hispanic,,Written Intimidation,N/A,1,Individual(s),,,,,,,X
01/23/2017,17004089,3D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
07/25/2017,170521252,RCPD,21 - Anti-Jewish,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
03/06/2017,17011943,1D,21 - Anti-Jewish,,Written Intimidation,OPEN,,Religious Organization,,,,,,,X
06/24/2017,170515518,4D,43 - Anti-Homosexual,,Vandalism,INACTIVE,1,Individual(s),,,,,,,X
04/24/2016,16020209,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
03/18/2017,17013994,6D,12 - Anti-Black,,Assault (physical),OPEN,2,Individual(s),,,,,,,X
10/27/2017,170539207,6D,43 - Anti-Homosexual,,Assault (physical),OPEN,1,Individual(s),,,,,,,X
02/13/2017,17007821,GCPD,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
03/07/2019,190010572,4D,12 - Anti-Black,,Written Intimidation,N/A,,School/College,1,1,,,,,
11/12/2016,16058596,6D,12 - Anti-Black,,Verbal Intimidation,OPEN,,Business/ Financial Institution,,,,,,,X
04/27/2016,16020705,2D,26 - Anti-Multi religious group,,Vandalism,OPEN,,Government,,,,,,,X
09/22/2016,16048796,2D,71 - Anti-Transgender,,Assault (physical),OPEN,1,Individual(s),1,,,1,,,
03/27/2019,190014251,1D,32 - Anti-Hispanic,,Verbal Intimidation,OPEN,1,Individual(s),1,,,,,,X
06/23/2017,170515340,2D,43 - Anti-Homosexual,,Vandalism,OPEN,1,Individual(s),,,,,,,X
12/08/2017,170547368,GCPD,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
08/20/2016,16042149,3D,12 - Anti-Black,,Verbal Intimidation,N/A,1,Individual(s),1,,,,,1,
04/13/2017,170501940,4D,12 - Anti-Black,,Vandalism,INACTIVE,1,Individual(s),,,,,,,X
11/13/2017,170542741,1D,26 - Anti-Multi religious group,,Other,OPEN,1,Individual(s),1,1,,,,,
06/12/2017,170513601,2D,21 - Anti-Jewish,,Vandalism,INACTIVE,,Society,,,,,,,X
05/23/2017,170509521,6D,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
03/21/2017,17015593,RCPD,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
03/30/2017,17016212,1D,12 - Anti-Black,21 - Anti-Jewish,Vandalism,INACTIVE,,School/College,,,,,,,X
09/22/2017,170533042,1D,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
11/29/2016,16061405,1D,21 - Anti-Jewish,,Vandalism,INACTIVE,0,School/College,,,,,,,X
01/30/2017,17005248,6D,12 - Anti-Black,,Assault (physical),UNF,1,Individual(s),,,,,,,X
11/01/2017,170540409,2D,21 - Anti-Jewish,,Written Intimidation,OPEN,,School/College,1,1,,,,,
07/14/2016,16035615,2D,12 - Anti-Black,,Miscellaneous,INACTIVE,,Religious Organization,,,,,,,X
01/03/2016,16000451,2D,12 - Anti-Black,,Vandalism,INACTIVE,,School/College,,,,,,,X
03/08/2019,190010757,4D,12 - Anti-Black,,Vandalism,N/A,,School/College,,,,,,,X
09/29/2019,190046803,2D,43 - Anti-Homosexual,,Vandalism,OPEN,2,Individual(s),2,2,,,,,
09/10/2019,190043481,GCPD,15 - Anti-Multi-Racial,,Vandalism,OPEN,,Society,,,,,,,X
09/21/2019,190045257,2D,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
09/01/2019,190042422,6D,21 - Anti-Jewish,15 - Anti-Multi-Racial,Vandalism,N/A,,Society,,,,,,,X
09/18/2019,190044661,4D,12 - Anti-Black,,Written Intimidation,OPEN,1,Individual(s),,,,,,,X
12/19/2019,190061126,4D,12 - Anti-Black,32 - Anti-Hispanic,Assault (simple),OPEN,1,Individual(s),1,,,,1,,
12/02/2019,190057974,4D,12 - Anti-Black,21 - Anti-Jewish,Vandalism,N/A,,School/College,,,,,,,X
10/20/2017,170538262,GCPD,12 - Anti-Black,,Vandalism,INACTIVE,,School/College,,,,,,,X
04/28/2019,190019923,RCPD,21 - Anti-Jewish,,Vandalism,OPEN,1,Individual(s),,,,,,,X
01/07/2016,16001171,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
11/18/2016,16059494,1D,12 - Anti-Black,,Verbal Intimidation,INACTIVE,1,Individual(s),,,,,,,X
12/18/2016,16064844,6D,43 - Anti-Homosexual,15 - Anti-Multi-Racial,Vandalism,INACTIVE,,Other,,,,,,,X
02/27/2017,17010515,RCPD,11 - Anti-white,,Vandalism,INACTIVE,,Society,,,,,,,X
04/16/2019,190017752,2D,12 - Anti-Black,,Written Intimidation,N/A,,School/College,4,4,,,,,
03/31/2017,17016332,RCPD,32 - Anti-Hispanic,,Assault (physical),OPEN,1,Individual(s),,,,,,,X
05/29/2017,170510497,1D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
08/22/2017,170526194,GCPD,14 - Anti-Asian,21 - Anti-Jewish,Vandalism,OPEN,,Government,,,,,,,X
01/05/2017,17000839,6D,24 - Anti-Islamic,,Written Intimidation,N/A,,Religious Organization,,,,,,,X
11/13/2017,170542522,1D,12 - Anti-Black,,Vandalism,OPEN,,School/College,,,,,,,X
08/06/2017,170523413,4D,12 - Anti-Black,,Vandalism,UNF,1,Individual(s),,,,,,,X
04/11/2019,190016987,RCPD,12 - Anti-Black,,Written Intimidation,N/A,,Society,,,,,,,X
09/21/2017,170532001,3D,21 - Anti-Jewish,,Vandalism,OPEN,,Government,,,,,,,X
12/16/2016,16064736,2D,43 - Anti-Homosexual,,Vandalism,INACTIVE,,Religious Organization,,,,,,,X
01/22/2018,180003605,RCPD,21 - Anti-Jewish,,Damage property,OPEN,1,Individual(s),,,,,,,X
02/13/2018,180007511,6D,72 - Anti Gender Non-conforming,,Assault (simple),OPEN,1,Individual(s),2,,,,,,
01/13/2018,180002565,3D,24 - Anti-Islamic,,Flyer left behind,CLOSED - ADMIN,2,Individual(s),,,,,,,X
01/31/2018,180005896,3D,43 - Anti-Homosexual,,Other,CLOSED - ADMIN,1,Individual(s),,,,,,,X
02/22/2018,180009214,4D,32 - Anti-Hispanic,,Verbal Intimidation,N/A,1,Individual(s),1,,,,,,
02/07/2018,180006627,2D,14 - Anti-Asian,,Assault (Intimidation),OPEN,1,Individual(s),,,,,,,X
02/12/2018,180007406,2D,43 - Anti-Homosexual,,Assault (physical),OPEN,1,Individual(s),1,1,,,,,
01/06/2018,180000925,2D,14 - Anti-Asian,,Harassing Communication,OPEN,1,Individual(s),,,,,,,X
02/25/2018,180009756,1D,12 - Anti-Black,,Other,OPEN,,Government,,,,,,,X
01/10/2018,180001592,4D,15 - Anti-Multi-Racial,21 - Anti-Jewish,Damage property,OPEN,1,Individual(s),,,,,,,X
04/17/2019,190018079,RCPD,12 - Anti-Black,,Assault (simple),INACTIVE,1,Individual(s),1,,,,1,,
03/23/2018,180014425,4D,21 - Anti-Jewish,,Verbal Intimidation,OPEN,,Religious Organization,,,,,,,X
03/04/2018,180011102,4D,11 - Anti-white,,Assault (intimidation),UNF,1,Individual(s),4,4,,,,,
04/27/2019,190020026,2D,12 - Anti-Black,,Assault (intimidation),N/A,,School/College,2,2,,,,,
03/13/2018,180012537,6D,12 - Anti-Black,,Vandalism,OPEN,,Government,1,,,,,,
05/18/2019,190023546,5D,21 - Anti-Jewish,43 - Anti-Homosexual,Vandalism,N/A,,School/College,,,,,,,X
05/15/2019,190022915,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
04/02/2018,180015906,2D,71 - Anti-Transgender,,Assault (simple),OPEN,1,Individual(s),1,,,,,1,
05/22/2019,190024373,1D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
04/08/2018,180017177,4D,12 - Anti-Black,,Other,OPEN,2,Individual(s),,,,,,,X
04/05/2018,180016500,4D,12 - Anti-Black,,Vandalism,INACTIVE,,School/College,,,,,,,X
05/31/2019,190025582,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
05/30/2019,190025730,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
06/15/2018,180029724,2D,21 - Anti-Jewish,,Vandalism,INACTIVE,,School/College,,,,,,,X
06/20/2018,180030512,RCPD,21 - Anti-Jewish,,Written Intimidation,OPEN,,Religious Organization,,,,,,,X
05/22/2019,190024312,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
05/19/2019,190023755,2D,33 - Anti-Other Ethnicity,,Vandalism,N/A,,School/College,,,,,,,X
05/17/2019,190023313,2D,21 - Anti-Jewish,,Vandalism,N/A,,School/College,,,,,,,X
05/09/2018,180022825,4D,43 - Anti-Homosexual,,Vandalism,INACTIVE,,School/College,,,,,,,X
05/27/2019,190025231,2D,12 - Anti-Black,,Vandalism,OPEN,,Society,,,,,,,X
06/24/2018,180031107,3D,12 - Anti-Black,43 - Anti-Homosexual,Vandalism,CLOSED - ADMIN,,Religious Organization,,,,,,,X
05/15/2019,190022870,RCPD,32 - Anti-Hispanic,,Vandalism,INACTIVE,,Business/ Financial Institution,,,,,,,X
03/09/2017,17012521,1D,22 - Anti-Catholic,,Vandalism,CLOSED - ADMIN,4,Individual(s),1,1,,,,,
06/17/2017,170514215,3D,12 - Anti-Black,,Vandalism,CLOSED - ADMIN,1,Individual(s),,,,,,,X
06/14/2017,170513635,2D,12 - Anti-Black,,Intimidation,CLOSED - ADMIN,1,Individual(s),1,1,,,,,
12/15/2017,170548729,6D,21 - Anti-Jewish,12 - Anti-Black,Written Intimidation,CLOSED - ADMIN,1,Individual(s),1,1,,,,,
03/21/2018,180014001,2D,21 - Anti-Jewish,,Written Intimidation,CLOSED - ADMIN,1,Individual(s),1,,1,,,,
05/16/2019,190023112,1D,21 - Anti-Jewish,,Vandalism,OPEN,,School/College,,,,,,,X
04/11/2019,190016854,RCPD,21 - Anti-Jewish,,Written Intimidation,OPEN,1,Individual(s),1,,,,1,,
09/18/2017,170531517,2D,12 - Anti-Black,,Verbal Intimidation,CLOSED - ADMIN,1,Individual(s),1,1,,,,,
12/04/2017,170546720,4D,21 - Anti-Jewish,,Vandalism,CLOSED - ADMIN,,School/College,1,1,,,,,
05/11/2019,190022287,2D,21 - Anti-Jewish,,Vandalism,OPEN,,Other,,,,,,,X
01/30/2018,180005117,4D,71 - Anti-Transgender,,Assault (simple),CLOSED - ADMIN,2,Individual(s),1,1,,,,,
